WellName,Northing,Easting,Projection,Basin,Main Drilling Event,Score
ozdelta-1,7613131.2,673579.21,53 s,southern georgina basin,pack off,-10
craigow-1,5616630.646,383473.486,utm (south) zone 55,offshore bass basin,tight spot,0
